6.845	0.000	-0.144	1.456	0.751
6.877	0.001	0.075	1.442	0.750
6.909	-0.000	-0.160	1.303	0.750
6.940	0.002	0.152	1.488	0.750
6.971	0.001	0.168	1.479	0.750
7.003	0.000	-0.142	1.518	0.750
7.033	0.001	0.322	1.562	0.750
7.066	0.001	-0.048	1.529	0.751
7.097	-0.000	0.001	1.342	0.750
7.130	-0.000	-0.142	1.405	0.750
7.162	0.001	-0.164	1.469	0.750
7.192	0.002	0.347	1.580	0.750
7.224	-0.000	-0.135	1.385	0.751
7.258	0.003	0.290	1.499	0.750
7.291	0.001	0.017	1.479	0.750
7.324	0.001	-0.157	1.400	0.750
7.354	0.001	-0.195	1.444	0.750
7.385	0.001	0.064	1.410	0.751
7.413	0.001	-0.172	1.370	0.750
7.443	0.000	-0.146	1.334	0.750
7.475	-0.001	-0.165	1.426	0.750
7.508	0.011	-0.138	1.317	0.750
7.538	-0.001	-0.184	1.326	0.751
7.569	0.002	-0.168	1.199	0.750
7.600	-0.001	-0.181	1.313	0.750
7.631	0.000	0.111	1.329	0.750
7.662	-0.000	-0.152	1.244	0.750
7.693	0.001	-0.188	1.264	0.750
7.725	-0.001	-0.148	1.239	0.750
7.758	-0.000	0.287	1.348	0.751
7.791	0.001	-0.164	1.380	0.751
7.824	0.001	-0.015	1.297	0.751
7.855	0.001	-0.026	1.337	0.750
7.885	0.002	-0.158	1.357	0.750
7.918	0.002	0.236	1.298	0.750
7.947	-0.000	-0.128	1.281	0.751
7.975	0.001	0.000	1.282	0.750
8.007	-0.000	-0.164	1.358	0.750
8.037	0.001	0.259	1.405	0.750
8.066	0.001	-0.091	1.307	0.751
8.098	0.001	-0.096	1.281	0.751
8.129	0.002	-0.189	1.264	0.750
8.159	0.001	-0.186	1.241	0.750
8.190	0.001	-0.120	1.244	0.750
8.221	0.001	-0.183	1.199	0.750
8.251	0.001	-0.047	1.192	0.750
8.283	0.006	-0.182	1.186	0.750
8.314	0.001	-0.094	1.206	0.751
8.347	-0.000	0.261	1.182	0.751
8.379	0.017	0.013	1.266	0.750
8.410	-0.001	-0.159	1.225	0.750
8.442	0.005	0.360	1.235	0.750
8.473	-0.000	-0.179	1.287	0.750
8.504	0.001	-0.164	1.212	0.750
8.536	0.001	-0.197	1.166	0.750
8.568	0.001	-0.156	1.193	0.751
8.605	-0.000	-0.071	1.174	0.750
8.635	0.001	-0.181	1.232	0.751
8.666	-0.000	-0.185	1.112	0.750
8.697	-0.001	-0.172	1.123	0.750
8.728	0.001	-0.166	1.345	0.751
8.759	0.000	-0.177	1.155	0.750
8.790	-0.000	-0.138	1.179	0.750
8.821	0.000	-0.099	1.226	0.750
8.852	-0.000	-0.152	1.128	0.750
8.884	-0.000	-0.159	1.111	0.750
8.917	-0.001	-0.152	1.101	0.750
8.950	0.002	-0.193	1.070	0.751
8.982	-0.001	0.150	1.159	0.750
9.014	0.001	-0.193	1.189	0.750
9.044	-0.001	0.036	1.154	0.750
9.075	-0.000	-0.149	1.207	0.750
9.105	0.000	-0.177	1.156	0.750
9.136	0.001	-0.148	1.126	0.750
9.169	0.000	-0.186	1.184	0.750
9.202	-0.000	-0.105	1.188	0.750
9.235	0.004	-0.191	1.169	0.750
9.268	0.004	-0.160	1.166	0.750
